Sentence,Anger,Disgust,Fear,Joy,Sadness,Top Feeling
Matarazzo is not an ideal plaintiff.,0.198088,0.17456,0.19454,0.107975,0.356693,Sadness
Shes desperate for love and friendship and that makes it easy for faux friends to mislead her into making false statements.,0.215121,0.195961,0.051231,0.169556,0.34198,Sadness
A slimy reporter says You can trust me but it turns out the reporter cant be trusted at all.,0.263048,0.177953,0.075542,0.053751,0.518029,Sadness
At first it looks like a good case for Sheedy and Stoltz.,0.048529,0.125955,0.077062,0.460764,0.151975,Joy
But then oops the community organizes against the law.,0.221019,0.231512,0.080748,0.105313,0.40351,Sadness
Then it looks good again.,0.030707,0.036348,0.063812,0.69044,0.063179,Joy
But then the reporter interferes.,0.255241,0.191806,0.117348,0.141866,0.315036,Sadness
Then that obstacle is no sooner overcome than Linda Tripp pokes her big nose into the investigation and makes public the tapes that seem to indicate Matarazzo was lying.,0.1956,0.374924,0.146124,0.006931,0.453978,Sadness
Well actually she WAS lying  but she was lying to her interrogator in order to please her.,0.471558,0.137632,0.071389,0.020194,0.442465,Anger
Then thats overcome but Matarazzo objects to taking the stand because she doesnt want to be characterized as retarded.,0.172157,0.117488,0.366438,0.010152,0.470339,Sadness
Eric Stoltz is fine in the part of the prosecutor.,0.039427,0.15138,0.064559,0.29601,0.322677,Sadness
I say that for the simple reason that he and I lived in Pago Pago around the same time.,0.047565,0.016838,0.030411,0.54579,0.195076,Joy
I hope he wasnt the kid I had that altercation with at the bar of the Seaside Club.,0.1037,0.329238,0.063329,0.070582,0.484466,Sadness
If he was I take back my compliment.,0.080532,0.064362,0.106633,0.406087,0.198699,Joy
Ally Sheedy is a strange actress and hard to characterize.,0.100789,0.079598,0.385664,0.02647,0.486693,Sadness
She did a marvelous selfrestrained job in Fine Art but I didnt sense any particular effort being put into this role which was rather formulaic anyway.,0.253683,0.143824,0.039476,0.375982,0.108878,Joy
I mean neither she nor Stoltz nor anyone else could give a bravura performance in whats essentially a comic book story.,0.157847,0.095439,0.192286,0.109597,0.442778,Sadness
The producers and director had the good sense to choose Heather Matarazzo for the role of victim.,0.161845,0.093452,0.109552,0.21833,0.341806,Sadness
The very worst thing they could have done is cast an ethereally lovely neotenous blond.,0.134715,0.146944,0.326977,0.062238,0.398991,Sadness
Instead Matarazzo without being at all ugly looks rather plain and this ordinary quality is complemented by her grooming and make up.,0.129636,0.522615,0.05631,0.034436,0.381315,Disgust
Nor have the writers turned her wistful and gentle.,0.18589,0.151996,0.145331,0.122444,0.406981,Sadness
She has a temper and is sometimes irritating to listen to which is all for the good.,0.793307,0.001153,0.007246,0.115641,0.045505,Anger
Matarazzos character is the best drawn in the film.,0.049728,0.070305,0.036988,0.690951,0.048872,Joy
The jocks are stereotypes.,0.199333,0.169848,0.196523,0.108459,0.356669,Sadness
They deserve to get it in the neck  and they do.,0.287109,0.151429,0.412177,0.074842,0.173019,Fear
I referred to this as a comic book story and thats pretty much what it is.,0.074855,0.092369,0.055338,0.38023,0.257215,Joy
It challenges none of our prejudices.,0.280143,0.159914,0.224964,0.072955,0.34282,Sadness
It reaffirms out belief that the world can be divided into Good and Evil.,0.124959,0.14749,0.093084,0.428788,0.096951,Joy
And we dont have a moments doubt about whos who.,0.161323,0.135155,0.257583,0.043307,0.482238,Sadness
The film is based on a true story as are so many others weve all seen and even more fictional features.,0.039095,0.264269,0.03181,0.373977,0.174958,Joy
The Accused.,0.826167,0.179574,0.030899,0.019695,0.058338,Anger
Some are good some are strictly routine.,0.076787,0.037688,0.065918,0.558147,0.121316,Joy
Ive seen this movie at least fifty times and after watching it last week for the first time in a long time I still FELT it.,0.028414,0.070506,0.296955,0.061269,0.550641,Sadness
The story itself was incredible but came alive by Spielbergs expertise and the fabulous cast including Whoopi Goldberg Oprah Winfrey Danny Glover and Margaret Avery.,0.075285,0.078542,0.019416,0.668796,0.05403,Joy
Akosua Busia deserved an Oscar nomination for her short but powerful portrayal of Nettie.,0.083673,0.132591,0.061533,0.423774,0.169674,Joy
Youll experience every human emotion while watching this film.,0.152027,0.320212,0.060449,0.326206,0.077246,Joy
I laughed cried and got angry.,0.749894,0.01172,0.026009,0.002398,0.313346,Anger
Like most great movies it was looked over by the Academy with a host of nominations but no wins.,0.055785,0.052802,0.042852,0.567374,0.13788,Joy
But this movie without a doubt is definitely one of the best films of all time.,0.2027,0.036097,0.027908,0.560888,0.05936,Joy
I am a big fan of Stephen Kings work and this film has made me an even greater fan of King.,0.026707,0.341223,0.018269,0.414421,0.087852,Joy
Pet Sematary is about the Creed family.,0.118366,0.0662,0.047909,0.302123,0.333505,Sadness
They have just moved into a new house and they seem happy.,0.015078,0.006285,0.038616,0.75878,0.074,Joy
But there is a pet cemetery behind their house.,0.225512,0.156788,0.490476,0.014969,0.264496,Fear
The Creeds new neighbor Jud played by Fred Gwyne explains the burial ground behind the pet cemetery.,0.521346,0.170811,0.149511,0.028806,0.277769,Anger
That burial ground is pure evil.,0.34538,0.171555,0.18115,0.161121,0.167356,Anger
Jud tells Louis Creed that when you bury a human being or any kind of pet up in the burial ground they would come back to life.,0.181561,0.26788,0.102969,0.04321,0.507032,Sadness
The only problem is that when they come back they are NOT the same person theyre evil.,0.298077,0.251975,0.193198,0.045725,0.349702,Sadness
Soon after Jud explains everything about the Pet Sematary everything starts to go to hell.,0.496604,0.090416,0.25723,0.026364,0.276682,Anger
I wont explain anymore because I dont want to give away some of the main parts in the film.,0.10787,0.210416,0.118967,0.000407,0.6946,Sadness
