Sentence,Anger,Disgust,Fear,Joy,Sadness,Top Feeling
With all this stuff going down at the moment with MJ ive started listening to his music watching the odd documentary here and there watched The Wiz and watched Moonwalker again.,0.031367,0.014737,0.111592,0.467613,0.204621,Joy
Maybe i just want to get a certain insight into this guy who i thought was really cool in the eighties just to maybe make up my mind whether he is guilty or innocent.,0.274587,0.366168,0.048758,0.160513,0.177247,Disgust
Moonwalker is part biography part feature film which i remember going to see at the cinema when it was originally released.,0.012504,0.10857,0.065282,0.528274,0.139669,Joy
Some of it has subtle messages about MJs feeling towards the press and also the obvious message of drugs are bad mkay.,0.346035,0.159879,0.203374,0.001709,0.470347,Sadness
Visually impressive but of course this is all about Michael Jackson so unless you remotely like MJ in anyway then you are going to hate this and find it boring.,0.585715,0.075265,0.059932,0.001778,0.427535,Anger
Some may call MJ an egotist for consenting to the making of this movie BUT MJ and most of his fans would say that he made it for the fans which if true is really nice of him.,0.048211,0.096402,0.032747,0.565013,0.124088,Joy
The actual feature film bit when it finally starts is only on for 20 minutes or so excluding the Smooth Criminal sequence and Joe Pesci is convincing as a psychopathic all powerful drug lord.,0.192126,0.351551,0.064766,0.180249,0.205958,Disgust
Why he wants MJ dead so bad is beyond me.,0.303171,0.39721,0.191687,0.000394,0.32719,Disgust
Because MJ overheard his plans Nah Joe Pescis character ranted that he wanted people to know it is he who is supplying drugs etc so i dunno maybe he just hates MJs music.,0.475926,0.160227,0.159327,0.01447,0.359194,Anger
Lots of cool things in this like MJ turning into a car and a robot and the whole Speed Demon sequence.,0.179745,0.310636,0.145619,0.119137,0.285761,Disgust
Bottom line this movie is for people who like MJ on one level or another which i think is most people.,0.174537,0.395573,0.030434,0.009823,0.540544,Sadness
If not then stay away.,0.184544,0.220247,0.120979,0.029261,0.561676,Sadness
hmmm well i dont know because people can be different behind closed doors i know this for a fact.,0.13191,0.214583,0.354207,0.008203,0.444756,Sadness
He is either an extremely nice but stupid guy or one of the most sickest liars.,0.698452,0.270739,0.126759,0.009029,0.088066,Anger
I hope he is not the latter.,0.029856,0.353369,0.376709,0.079491,0.217695,Fear
The Classic War of the Worlds by Timothy Hines is a very entertaining film that obviously goes to great effort and lengths to faithfully recreate H. Wells classic book.,0.104074,0.045026,0.064095,0.610714,0.059573,Joy
Hines succeeds in doing so.,0.081683,0.019132,0.325552,0.411611,0.029926,Joy
I and those who watched his film with me appreciated the fact that it was not the standard predictable Hollywood fare that comes out every year e. the Spielberg version with Tom Cruise that had only the slightest resemblance to the book.,0.056632,0.126321,0.053459,0.402208,0.220365,Joy
Obviously everyone looks for different things in a movie.,0.224387,0.146657,0.114994,0.287445,0.159292,Joy
Those who envision themselves as amateur critics look only to criticize everything they can.,0.155849,0.198351,0.261623,0.095409,0.336786,Sadness
